title;description;rating;genre;url
Juda;Juda es un jugador que se gana la vida en el inframundo criminal. Tomando dinero prestado de la mafia francesa para un lugar en un juego de póquer de alto riesgo, gana a lo grande pero la suerte se le acaba cuando se topa con una vampiresa.;R;Thriller;https://pluto.tv/latam/on-demand/series/5fca7c5a1c1caa0013f7ab26
Cazadores de hombres;Narra el trabajo de una unidad policial de élite especializada en la localización y captura de fugitivos especialmente peligrosos y, en ocasiones, reclamados internacionalmente.;PG;Thriller;https://pluto.tv/latam/on-demand/series/617bed12693843001af7bbe2
Los asesinatos de Midsomer;Los villanos de Midsomer se enfrentan a un duro adversario como el detective Barnaby, quien junto a sus colegas se involucra para luchar contra el crimen y resolver asesinatos en las hermosas pero mortales aldeas de Midsomer.;TV-14;Thriller;https://pluto.tv/latam/on-demand/series/63b6e56cd5762100130180e9
Ojos Sin Culpa;Edu no despierta sospechas. Se vale de su belleza y simpatía para ocultar su verdadera cara de asesino serial. Los policías Díaz y Vera buscan al asesino, que está más cerca de lo que imaginan.;TV-MA;Thriller;https://pluto.tv/latam/on-demand/series/62827ed9c51411001348b8e4
Las Muertes de Medusa;A raíz de una serie de asesinatos violentos, un equipo de investigación élite de homicidios descubre una poderosa organización criminal.;PG-13;Thriller;https://pluto.tv/latam/on-demand/series/64651d32a7ef77001a744d1d
Los Misterios de Praga;Praga, década de 1920. El inspector Budik investiga una serie de asesinatos más atroces.;PG-13;Thriller;https://pluto.tv/latam/on-demand/series/64651a58f2a541001b7d2df6
Intuición Criminal;Cuando la hija de un dignatario local es encontrada muerta en una mina, Angelika, una policía muy particular, quien confía más en su intuición que en las pruebas, se pone al frente del caso.;TV-PG;Other;https://pluto.tv/latam/on-demand/series/6407409ee44795001320871e
Ruleta Rusa;La periodista Katharina Wagner regresa a San Petersburgo para mostrarle a su hijo la tumba de su padre. Pero el viaje se convierte en la peor pesadilla de una madre cuando Nikolai desaparece repentinamente sin dejar rastro en el metro de San Petersburgo.;TV-14;Documentary;https://pluto.tv/latam/on-demand/series/612552ece4122100137c4376
Mal de Tierra;Un pueblo misterio, una niña desaparecida, una mujer poderosa empeñada en desterrar a los campesinos de sus tierras y un grupo de cineastas dispuestos a retratar en un documental la realidad de lo que está pasando.;R;Thriller;https://pluto.tv/latam/on-demand/series/6036642dd36089001adc9809
Shadows of Death;Un agente de policía acusado de asesinato debe demostrar su inocencia y encontrar al verdadero asesino.;PG-13;Thriller;https://pluto.tv/latam/on-demand/series/64652430188649001a2b8f29
Sin Identidad;"""Sin Identidad"" cuenta la historia de María, una joven y atractiva abogada madrileña de clase alta que con 27 años descubre que no es hija biológica de sus padres.";R;Thriller;https://pluto.tv/latam/on-demand/series/5e1e5f652139b4fc4b8a71f6
Estación Berlin;"Un drama de espías sobre la CIA en el Berlín actual. Daniel Miller es un agente novato en una misión clandestina para descubrir el origen de una filtración que proporcionó información a un soplón, ya famoso, llamado ""Thomas Shaw"".";TV-Y;Thriller;https://pluto.tv/latam/on-demand/series/5e503441fe1a6f001a7aede5
Sin retorno;Sin Retorno, un instante que marca la vida para siempre, un comienzo del cual se desconoce el final. La serie está basada en hechos de crónica, en el titular de un periódico, en historias que han sucedido, en fragmentos de vida.;R;Drama;https://pluto.tv/latam/on-demand/series/5f8f45777ecf48001a349c6c
NCIS;NCIS (Servicio de Investigación Criminal Naval) es más que un drama de acción. Con generosas dosis de humor, se enfoca en la dinámica a veces compleja y siempre divertida de un equipo obligado a trabajar en conjunto en situaciones de alto estrés.;TV-14;Thriller;https://pluto.tv/latam/on-demand/series/64413b886113a5001afb0856
Gracepoint;Cuando un niño es encontrado muerto en una playa, se inicia una importante investigación policial en un pequeño pueblo. El caso desencadena un frenesí mediático que lleva a la familia del niño a una mayor agitación y da un vuelco a la vida de todos.;PG-13;Thriller;https://pluto.tv/latam/on-demand/series/5e0fc8f6d78344b4ec61b0c9
The Case;Cada policía tiene un caso que los persigue y los golpea duro.;TV-PG;Thriller;https://pluto.tv/latam/on-demand/series/625dc070baa39e0013e2944b
The Accident;El cuerpo de Rebecca Cauvy se encuentra en la rampa de una autopista en la tranquila localidad de Sainte-Lune, Bretaña. Ella estaba extrañamente borracha y estacionó en el camino equivocado, aparentemente víctima de una colisión adelante.;R;Thriller;https://pluto.tv/latam/on-demand/series/5fbd1347c8c57d00131b5a44
Karabudjan;Diego Salgado, es un joven ejecutivo de una importante empresa de publicidad. Está acostumbrado a conseguir todo lo que se propone. Esconde un terrible secreto pero el pasado siempre vuelve y Diego se tendrá que enfrentar a él.;PG;Thriller;https://pluto.tv/latam/on-demand/series/617fe3f3c3995d001ab1752c
Lobos;Narra las peripecias que vive Manuel Lobo, un abogado maduro, viudo y padre de tres hijas, para evitar que la más pequeña acabe en la cárcel por tráfico de drogas.;PG;Thriller;https://pluto.tv/latam/on-demand/series/618151401be642001a2d72a5
Quart;Quart, el hombre de Roma, narra la historia de Lorenzo Quart, un sacerdote al que el Vaticano envía a Sevilla después de que el Papa recibiera una enigmática denuncia de un pirata informático.;G;Faith & Spirituality;https://pluto.tv/latam/on-demand/series/61858b6e1be642001a2f9211
Impares;Serie de comedia de pequeños sketches que muestra a los diversos clientes de una agencia de búsqueda de pareja a través de Internet.;G;Comedy;https://pluto.tv/latam/on-demand/series/617fe300693843001af8322a
Manolo y Benito Corporaision;Manolo y Benito trabajan en su empresa de reformas y son inseparables. La mujer de Manolo, le dejó cinco años atrás. A Benito no le gustan los cambios y toda su vida sigue igual. Todo cambia cuando su edificio se convierte en un Hotel de 4 estrellas.;G;Comedy;https://pluto.tv/latam/on-demand/series/6182889c52ed7b001b61a3d8
El Asesino de la Baraja;Lo que parecía un crimen aislado terminó siendo una complicada investigación para dar caza a un cruel asesino en serie.;TV-PG;Documentary;https://pluto.tv/latam/on-demand/series/65cd0123b8685b0013cc5560
Cazadores de hombres;Narra el trabajo de una unidad policial de élite especializada en la localización y captura de fugitivos especialmente peligrosos y, en ocasiones, reclamados internacionalmente.;PG;Thriller;https://pluto.tv/latam/on-demand/series/617bed12693843001af7bbe2
Vive Cantando;Trini es una joven cantante de orquesta que lleva años recorriendo España. Se ve obligada a volver a su barrio de toda la vida, lleno de gente entrañable y sencilla que lucha por salir adelante.;TV-Y7;Comedy;https://pluto.tv/latam/on-demand/series/60b7e3d949495300139052e8
Karabudjan;Diego Salgado, es un joven ejecutivo de una importante empresa de publicidad. Está acostumbrado a conseguir todo lo que se propone. Esconde un terrible secreto pero el pasado siempre vuelve y Diego se tendrá que enfrentar a él.;PG;Thriller;https://pluto.tv/latam/on-demand/series/617fe3f3c3995d001ab1752c
Con el culo al aire;Tino es el líder de un caótico camping. Vive acampando, va con su furgoneta de feria en feria y alardea de llevar un estilo de vida alternativo, al margen de la legalidad y de sus vecinos.;TV-14;Comedy;https://pluto.tv/latam/on-demand/series/60b6382e5cc5f2001a31236f
Fenómenos;Comedia ambientada en el día a día de un programa de radio sobre fenómenos paranormales.;PG;Comedy;https://pluto.tv/latam/on-demand/series/617c3fe15eb49a001ae159dc
Lobos;Narra las peripecias que vive Manuel Lobo, un abogado maduro, viudo y padre de tres hijas, para evitar que la más pequeña acabe en la cárcel por tráfico de drogas.;PG;Thriller;https://pluto.tv/latam/on-demand/series/618151401be642001a2d72a5
Un lugar en el mundo;Julio es un neurólogo de prestigio que, tras la muerte de su hijo, decide dejarlo todo para instalarse en un pequeño pueblo y abrir un hotel rural.;G;Drama;https://pluto.tv/latam/on-demand/series/618288ba436116001a0c0329
