title;description;rating;genre;duration;url
Peligro en la montaña;Joe Braven es un humilde leñador que vive en la frontera de los Estados Unidos. Cuando es asaltado por un grupo de traficantes de drogas en la recluida cabaña donde vive, hará todo lo que puede para proteger a su familia.;R;Action & Adventure;1hr 33 min;https://pluto.tv/latam/on-demand/movies/5f7b879be4b56900138b7fba/details
Fire with Fire;Un bombero fuera de servicio es testigo de un asesinato a manos de una banda de mafiosos. Entra en el programa de protección de testigos hasta que testifique, pero no consigue ocultarse por mucho tiempo de la banda, por lo que decide actuar por su cuenta.;R;Action & Adventure;1hr 37 min;https://pluto.tv/latam/on-demand/movies/5dfd2e82be7e53bc0c65d59d/details
Los Caballeros no tienen memoria;Richard es un brillante profesor de Cambridge con una pasión desenfrenada por la poesía romántica y las mujeres hermosas. Sin embargo, la paternidad le cambiará la vida.;R;Comedy;1hr 39 min;https://pluto.tv/latam/on-demand/movies/6141f41fbce9e900135a5a77/details
Blitz;Blitz es un asesino en serie de Londres que está matando agentes de la policía. El inspector jefe Roberts y el sargento Brant, un duro, inflexible y políticamente incorrecto detective de la policía, se encargarán de intentar detener al psicópata.;R;Action & Adventure;1hr 37 min;https://pluto.tv/latam/on-demand/movies/5dfd2e74be7e53bc0c65d42d/details
Inseparable;Chuck se inmiscuye en la vida de su vecino Li, un ingeneniero con problemas laborales y personales.;PG-13;Drama;1hr 36 min;https://pluto.tv/latam/on-demand/movies/62cc680618de52001378c4e6/details
Las Zafiro;Las Zafiro, cuatro chicas aborígenes australianas que apdrendieron sobre el amor, la amistad y la guerra, cuando Gail, Julie, Cynthia y Kay formaron un grupo musical de entretenimiento para las tropas de Estados Unidos en Vietnam en 1968;PG-13;Comedy;1hr 38 min;https://pluto.tv/latam/on-demand/movies/62cc2b8d9f6f4700149305c1/details
Precious;una adolescente analfabeta, maltratada y con sobrepeso que está embarazada de su segundo hijo es invitada a inscribirse en una escuela alternativa con la esperanza de poder cambiar su vida en una mejor dirección.;R;Drama;1hr 50 min;https://pluto.tv/latam/on-demand/movies/6310dca88762280014a48a22/details
Out of the Furnace;Russell (Christian Bale), un trabajador del acero, toma un asunto familiar en sus propias manos cuando su hermano, Rodney (Casey Affleck) se involucra con uno de los sindicatos del crimen más rudos del noreste y luego desaparece.;R;Thriller;1hr 56 min;https://pluto.tv/latam/on-demand/movies/5ea2ee9bc733d6001a1ae620/details
Scream 4;Con terapia y ayuda, la joven Sidney Prescott (Neve Campbell) ha conseguido dejar atrás todas las muertes que contempló años atrás en su pueblo natal, Woodsboro.;R;Horror;1hr 51 min;https://pluto.tv/latam/on-demand/movies/5f7b872be4b56900138b7983/details
Cymbeline;Esta película es una adaptación moderna de Cymbeline de Shakespeare, donde narra la historia de Cymbeline. Perseguido por policías corruptos, sufre los intentos de su esposa de ususcar el poder y tiene que lidiar con los problemas de su hija.;R;Drama;1hr 38 min;https://pluto.tv/latam/on-demand/movies/6141f448bce9e900135a5dd6/details
Kabluey;Un perdedor se muda con la esposa de su hermano para cuidar de sus dos hijos malvados. Ella le consigue un trabajo vistiendo un disfraz de Kabluey.;PG-13;Comedy;1hr 26 min;https://pluto.tv/latam/on-demand/movies/5fd3cd09d87c3b001aef120f/details
Un acto de esperanza;Fiona Maye (Emma Thompson) es una eminente jueza de la Corte Suprema británica especializada en derechos familiares. Mientras su matrimonio con Jack (Stanley Tucci) se hunde, tiene que tomar una importante decisión que cambiará su vida.;R;Drama;1hr 45 min;https://pluto.tv/latam/on-demand/movies/5f7b87a1e4b56900138b802a/details
EL Rascacielos;Una guerra de clases se desata en una propiedad residencial de lujo y se desarrolla una verdadera batalla en los ascensores, pasillos y apartamentos de la moderna torre.;R;Drama;1hr 59 min;https://pluto.tv/latam/on-demand/movies/627d188355812e0013ee406f/details
