serie;episode;episode_description;season
Weightlifting Fairy, Kim Bok-joo;Why are you acting all sulky?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;No backstabbing, especially Kim Bok-joo.;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;It hurts more than when my mom left.;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Weightlifting Fairy, Kim Bok-joo;Can't you see I'm head over heels for you?;Bok-joo, una levantadora de pesas, se enfrenta a un difícil dilema al enamorarse por primera vez. Equilibrar su pasión por la halterofilia con su recién descubierto romance es una dura prueba, especialmente con el sueño de una medalla de oro en juego.;1
Money Flower;Seemingly destined to meet at least once;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;1
Money Flower;The person you marry is not just any woman.;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;1
Money Flower;Nice to meet you. I'm Jang Bucheon.;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;1
Money Flower;Cheong A must be owned by a single man.;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;1
Money Flower;Became the protagonist of a century's romance.;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;1
Money Flower;I really want to meet you at least once, even now.;Mientras Kang Pil Joo conspira para hacerse con el control de Cheong A Group, ilustra vívidamente la dinámica del poder, subrayando que es el dinero el que manda sobre la gente, y no al revés.;1
